SMILES,label
CC(C)CC1CC(C)(O)CCO1,0
OC[P+](CO)(CO)CO.OC[P+](CO)(CO)CO.[O-][S]([O-])(=O)=O,0
[NH4+].[Br-],0
[NH4+].OCC([O-])=O,0
OC(O)C(Cl)(Cl)Cl,0
[H+].[F-],0
CC(O)C(=O)N(C)C,0
OCCCCCCO,0
[H+].[Cl-].NN,0
COCCOCCO[Si](CCCOCC1CO1)(OCCOCCOC)OCCOCCOC,0
CC(N)=O,0
CO[P](=O)(CCC(=O)NCO)OC,0
[H+].[Cl-].CNC,0
OCC#CCO,0
NCCCCCCCCCCN,0
CO,0
CC(C)(CO)[N+]([O-])=O,0
[Br-].CC[N+]1(C)CCCC1,0
[H+].[Br-],0
[Mn++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,0
[Mn++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,0
O=[Se]=O,0
C1CO1,0
[H+].[Cl-].NC(N)=N,0
NC=O,0
CCN,0
CNN,0
[Br-].CCCC[N+](CCCC)(CCCC)CCCC,0
[Li+].[Br-],0
CC(O)C(=O)NCCO,0
[Zn++].[Br-].[Br-],0
[nH]1cccn1,0
O[S](=O)(=O)c1cccc2C(=O)c3cccc(c3C(=O)c12)[S](O)(=O)=O,0
OCC#C,0
[Na+].S,0
CC1CN1,0
NCC=C,0
NC1CC1,0
O=CC=O,0
CC(C)=O,0
OCC=C,0
C1COC1,0
CCO,0
CNC=O,0
[F-].[K+],0
CC(C)N,0
CCCN,0
CN(C)N,0
NCCN,0
CNNC,0
NCCO,0
OCCO,0
OCCF,0
CN(C)C,0
O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12,0
OC=O,0
NCc1ccc(CN)cc1,0
[Li+].[O-][N+]([O-])=O,0
C[As](C)(O)=O,0
[K+].[O-][S](=O)(=O)CCCOC(=O)C=C,0
[K+].OP(O)O,0
N(CCC1)C1,0
OCCC#N,0
CC(O)C#N,0
O=CC1CO1,0
COC(C)=C,0
CN(C)C=O,0
CNC(C)=O,0
CC(C)CN,0
CCCCN,0
CC(C)(C)N,0
CCNCC,0
[Li+].[Cl-],0
CCC(O)=O,0
CC(=O)CO,0
OCC1CO1,0
C1COCO1,0
CN(C)N=O,0
CNC(N)=O,0
CC(C)(C)O,0
CC(N)CN,0
CCOC(=O)N1CCN(C)CC1,0
OC(=O)C1CCCN1,0
NC#N,0
CC(O)CN,0
CNCCO,0
C=O,0
CC(=O)OO,0
NC(=O)NO,0
OCCCO,0
CC(O)CO,0
NNCCO,0
COCCO,0
NC(=O)CF,0
OC(=O)CF,0
C[S](C)=O,0
OCCS,0
NC(N)=N.SC#N,0
NCCCC(O)=O,0
OC(=O)CBr,0
c1ccnnc1,0
c1cncnc1,0
OCCCl,0
[Na+].[S-]C#N,0
OCC(O)C(O)C(O)C(O)CO,0
[NH4+].[I-],0
Cn1ccnc1,0
Cc1[nH]ncc1,0
[Na+].[I-],0
CC(C)(O)C#C,0
[Na+].[O-]N=O,0
OC(=O)CC#N,0
CC(C)(O)C#N,0
O=C1CCCN1,0
C1CCNCC1,0
O=C1CCCO1,0
C1OC1C2CO2,0
C\C=C/C(O)=O,0
C1O[C@@H]1[C@H]2CO2,0
C1O[C@@H]1[C@@H]2CO2,0
C1O[C@H]1[C@H]2CO2,0
C1CNCCN1,0
COC1COC2C(COC12)OC,0
C1COCCN1,0
CN(C)C(C)=O,0
CCCCCN,0
CC(C)N(C)C,0
CCNC(C)C,0
CC(=O)C(O)=O,0
CC(O)CC=O,0
OC1CCOC1,0
CC(O)C(C)=O,0
C1COCCO1,0
CCC[NH2+]CC,0
CCC(N)CO,0
CN(C)CCO,0
CC(C)(N)CO,0
CCC(O)CN,0
CC(O)C(O)=O,0
COCC(O)=O,0
[Na+].[O-]C(=O)CF,0
CC(O)CCO,0
CCOCCO,0
COC(C)OC,0
OCCCCO,0
COCC(C)O,0
COCCOC,0
CCC(O)CO,0
C[C@@H](O)[C@H](C)O,0
[K+].[C-]#N,0
[Fe+3].[Fe+3].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,0
OCC[N+]([O-])=O,0
NCC(O)CO,0
[OH-].C[N+](C)(C)C,0
OCC(O)CO,0
C[Si](C)(O)O,0
CC(C)(N)C#C,0
Cc1ccccn1,0
Cc1ccncc1,0
Cc1cccnc1,0
Cc1cnccn1,0
Nc1cccnc1,0
N#CCCCC#N,0
[H+].[NH4+].[F-].[F-],0
O=C1NC=CC=C1,0
O=C1C=CNC=C1,0
[O-][n+]1ccccc1,0
OC(=O)C(F)F,0
C[S](O)(=O)=O,0
OCC(=O)CO,0
NCc1occc1,0
[Na+].[O-]C=O,0
[K+].[S-]C#N,0
O[S](O)(=O)=O,0
CC(NC=O)C#N,0
OCc1occc1,0
[nH]1cncn1,0
CN1CCCC1=O,0
NC1CCCCC1,0
Oc1cccc(O)c1,0
CC(O)=O,0
OC(=O)CCCC(O)=O,0
OCC(F)(F)F,0
O=NN1CCCC1,0
O=C1CCCCO1,0
CC(=O)CC(N)=O,0
CN1CCOCC1,0
CCN(CC)C=O,0
CC(=O)CC(O)=O,0
CN(C)CCCN,0
[Na+].[SH-],0
CC(=O)NCCO,0
CC(N)CC(O)=O,0
CN(C)CCCO,0
NCCNCCN,0
OC(=O)C(Br)Br,0
C[C@H]([NH3+])C(C)(C)C,0
COC(=O)C(C)O,0
CCCC(O)CO,0
OCCCCCO,0
NCCNCCO,0
NCCOCCN,0
CNC(=S)NC,0
CC(N)(CO)CO,0
Nc1ccccn1,0
NC(CO)CO,0
OCCOCCO,0
[nH]1ccnc1,0
NCc1ccccn1,0
NCc1ccncc1,0
[K+].[O-]C#N,0
CC(Cl)C(O)=O,0
CCCC(CCC)CCCC1COCCN1CCO,0
COC(N)=O,0
[Na+].[Br-],0
CC(=C)C(=O)OCC[N+](C)(C)CCC[S]([O-])(=O)=O,0
OCc1ccncc1,0
CN1C=CC=CC1=O,0
Cc1cc[n+]([O-])cc1,0
CC1=CC=C[NH++]([O-])[CH-]1,0
OCc1cccnc1,0
[NH4+].[O-]C(=O)CS,0
[Cl-].C[N+](C)(C)C,0
NC(N)=O,0
OCCNCCO,0
OCC(O)CCl,0
Cc1cc(=O)n(-c2ccccc2)n1C,0
NC(=O)C=C,0
[K+].OC([O-])=O,0
[Na+].[O-]CCS,0
[Na+].CC(O)C([O-])=O,0
[Ca++].[O-][PH]([O-])=O,0
[La],0
CCN1CCCC1=O,0
O=C1OCCO1,0
CC(O)C(N)=O,0
OC(=O)C(F)(F)F,0
O=C1CCCCCO1,0
CN1CCN(C)CC1,0
CC1CNCC(C)O1,0
CNC(=O)NC,0
CN(C)C(=N)N(C)C,0
CCN1CCOCC1,0
O=C1NC2CC1C=C2,0
[K+].[I-],0
OCCOC(=O)C=C,0
O=NN1CCOCC1,0
OCC1CCCCO1,0
CC(=O)CC(C)(C)O,0
CN(C)C(=O)N(C)C,0
NCCCCC(O)=O,0
CCCCNCCO,0
CCN(CC)CCO,0
[Cs+].[Cs+].[O-]C([O-])=O,0
CC(CO)(CO)C=O,0
[K+].[O-]C=O,0
CN(CC(O)=O)N=O,0
OCC1COC(=O)O1,0
OC(=O)CCl,0
CCOC(=O)C(C)O,0
COCCOC(C)=O,0
CC(O)CC(C)(C)O,0
CC(O)CNCCN,0
CCCOCC(C)O,0
CC(CCO)CCO,0
N[C@@H](CCO)C(O)=O,0
CN(CCO)CCO,0
COC(=O)COCO,0
COCCOCCO,0
NCC(O)=O,0
C\C=C(/Cl)C(O)=O,0
[NH4+].[S-]C#N,0
CNCc1ccccc1,0
NC(=O)c1cccnc1,0
OCCSCCO,0
Cc1cc(C)c[n+]([O-])c1,0
CC1(CCCC1=O)C#N,0
OCCBr,0
[Li].O[S](=O)(=O)C(F)(F)F,0
CCC(N)(CO)CO,0
CC(C)(CO)CO,0
[H+].[Cl-].CN(C)C,0
OCC[S](O)(=O)=O,0
ClC(=O)C(Cl)=O,0
CN1CCCN(C)C1=O,0
OC(=O)c1ccccn1,0
OC(=O)C(Cl)Cl,0
[NH3+][C@H]1CCCC[C@H]1[NH3+],0
CC(=O)N1CCOCC1,0
CN(C)C(=O)CC(C)=O,0
CC(O)COC(=O)C=C,0
OCCCOC(=O)C=C,0
CN(C)CCCNC=O,0
CC(C)COC(C)(C)C,0
CC(C)(C)OO,0
OC(=O)C(F)(F)Cl,0
COC,0
OC(=O)CC(=O)C(O)=O,0
OCC1CCC(CO)O1,0
CC1OCCO1,0
[K+].C[Si](O)(O)[O-],0
OCCN1CCNC1=O,0
CC[NH+](CCO)CCO,0
OCCN(CCO)N=O,0
CCC(CO)(CO)CO,0
CC(O)COC(C)CO,0
CCOCCOCCO,0
CCC(O)OC(O)CC,0
CCOC(=O)N(CC)c1ccccc1,0
[Cu++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,0
OC(=O)CC(O)=O,0
CC(O)CN.OC(=O)CC(O)(CC(O)=O)C(O)=O,0
[K+].[O-]P=O,0
O=C1CCCCCN1,0
O.[Na+].[O-]P=O,0
CC(C)O[P](C)(F)=O,0
OCc1cc(O)ccc1O,0
CO[P](N)(=O)SC,0
C=CC(=O)N1CCOCC1,0
O[S](=O)(=O)c1ccccc1,0
[Na+].[O-]C(=O)CCl,0
OCC1CN2CCN1CC2,0
OC\C=C/CO,0
COCCOCCOC,0
[NH4+].[Cl-],0
CC1(CCOC1=O)C(O)=O,0
CC1CC1(C(O)=O)C(O)=O,0
OCCCCOC(=O)C=C,0
O=C1NCCN1,0
O[P](O)(=O)CCCl,0
[NH4+].C[P](O)(=O)CCC(N)C([O-])=O,0
C[C@H]1CO1,0
C[C@@H]1CO1,0
CN(CCCN)CCCN,0
CC(CCC(O)=O)C(O)=O,0
NCCCCC(N)C(O)=O,0
CCC1(CO)COCOC1,0
NCCNCCNCCN,0
[Li+].CC([O-])=O,0
Nc1[nH]ncn1,0
CC1CO1,0
COC(C)COC(C)CO,0
CCOCCOCCOC,0
CCC(CO)(CO)[N+]([O-])=O,0
OCCN(CCO)CCO,0
CN[C@H](C)Cc1ccccc1,0
CCOC(=O)NC,0
[OH-].[Cs+],0
O[C@@H]([C@H](O)C(O)=O)C(O)=O,0
OCCOCCOCCO,0
OCC(CO)(CO)[N+]([O-])=O,0
OC(=O)Cc1cccc(O)c1,0
CC(O)CNCC(C)O,0
NCCO.OC(=O)CS,0
[H+].[Cl-].CN(C)C(C)(C)CO,0
[Br-].CC[NH2+]CC,0
CN(C)[P](F)(=O)N(C)C,0
OCNC(=O)C=C,0
[K+].CN(C)CC([O-])=O,0
COC(=O)C1=CCCN(C)C1,0
[Na+].[N-]=[N+]=[N-],0
